Target Distance: 200, Step Size: 20
570: (x,y)=(55.8289,-12.8941)
571: (x,y)=(56.1418,-10.9188)
572: (x,y)=(54.4274,-9.88868)
573: (x,y)=(53.7763,-11.7797)
574: (x,y)=(55.7459,-11.4324)
575: (x,y)=(53.8053,-11.9163)
576: (x,y)=(55.7686,-12.2979)
577: (x,y)=(55.5248,-14.283)
578: (x,y)=(55.5597,-16.2827)
579: (x,y)=(57.3417,-15.3747)
580: (x,y)=(58.4889,-17.013)
581: (x,y)=(60.4114,-16.4617)
582: (x,y)=(62.0888,-15.3724)
583: (x,y)=(63.9159,-16.1859)
584: (x,y)=(65.8912,-15.873)
585: (x,y)=(66.9511,-14.1769)
586: (x,y)=(64.966,-13.9332)
587: (x,y)=(65.2097,-15.9183)
588: (x,y)=(66.1487,-14.1524)
589: (x,y)=(64.6392,-12.8403)
590: (x,y)=(62.7721,-13.557)
591: (x,y)=(64.7611,-13.7661)
592: (x,y)=(64.9702,-15.7551)
593: (x,y)=(66.7828,-14.9099)
594: (x,y)=(65.0685,-13.8798)
595: (x,y)=(66.8344,-14.8188)
596: (x,y)=(64.8538,-14.5404)
597: (x,y)=(62.9313,-15.0917)
598: (x,y)=(60.9994,-14.574)
599: (x,y)=(62.9691,-14.2268)
600: (x,y)=(62.8644,-12.2295)
601: (x,y)=(61.5523,-13.7389)
602: (x,y)=(63.2484,-14.7987)
603: (x,y)=(61.5523,-13.7389)
604: (x,y)=(63.501,-14.1888)
605: (x,y)=(61.8429,-15.3072)
606: (x,y)=(63.501,-16.4256)
607: (x,y)=(62.4117,-14.7482)
608: (x,y)=(61.5665,-12.9356)
609: (x,y)=(62.7978,-11.3596)
610: (x,y)=(64.5471,-10.39)
611: (x,y)=(62.9928,-9.13135)
612: (x,y)=(64.0228,-10.8457)
613: (x,y)=(63.9182,-12.8429)
614: (x,y)=(63.5709,-14.8126)
615: (x,y)=(63.087,-16.7531)
616: (x,y)=(62.5023,-14.8405)
617: (x,y)=(61.2987,-16.4378)
618: (x,y)=(59.4716,-15.6243)
619: (x,y)=(60.981,-14.3122)
620: (x,y)=(62.345,-15.7749)
621: (x,y)=(64.0031,-16.8933)
622: (x,y)=(64.2121,-14.9043)
623: (x,y)=(62.7027,-16.2164)
624: (x,y)=(63.6416,-14.4505)
625: (x,y)=(62.9576,-16.3299)
626: (x,y)=(64.9549,-16.4345)
627: (x,y)=(64.7111,-18.4196)
628: (x,y)=(65.2624,-16.4971)
629: (x,y)=(63.6444,-15.3215)
630: (x,y)=(61.7317,-15.9063)
631: (x,y)=(59.7467,-16.15)
632: (x,y)=(61.6692,-15.5988)
633: (x,y)=(61.7739,-17.596)
634: (x,y)=(62.0867,-19.5714)
635: (x,y)=(62.261,-21.5638)
636: (x,y)=(60.272,-21.3547)
637: (x,y)=(59.3952,-19.5571)
638: (x,y)=(58.3354,-17.861)
639: (x,y)=(58.717,-19.8243)
640: (x,y)=(60.6866,-19.477)
641: (x,y)=(59.8099,-21.2746)
642: (x,y)=(57.9427,-21.9913)
643: (x,y)=(57.5954,-23.9609)
644: (x,y)=(55.9774,-22.7854)
645: (x,y)=(57.3916,-24.1996)
646: (x,y)=(56.7405,-26.0906)
647: (x,y)=(55.6806,-27.7867)
648: (x,y)=(53.6883,-27.961)
649: (x,y)=(55.5904,-28.5791)
650: (x,y)=(55.7994,-26.59)
651: (x,y)=(54.4354,-25.1273)
652: (x,y)=(54.1571,-27.1078)
653: (x,y)=(52.7184,-28.4972)
654: (x,y)=(51.6,-30.1552)
655: (x,y)=(53.4271,-29.3418)
656: (x,y)=(53.6708,-31.3269)
657: (x,y)=(53.5662,-33.3241)
658: (x,y)=(53.982,-31.3678)
659: (x,y)=(55.9744,-31.1935)
660: (x,y)=(53.9893,-31.4372)
661: (x,y)=(51.9893,-31.4372)
662: (x,y)=(53.7552,-32.3762)
663: (x,y)=(53.5461,-30.3871)
664: (x,y)=(55.1434,-31.5908)
665: (x,y)=(56.8577,-30.5607)
666: (x,y)=(55.1085,-31.5303)
667: (x,y)=(53.2064,-32.1483)
668: (x,y)=(54.492,-33.6804)
669: (x,y)=(55.2412,-35.5348)
670: (x,y)=(57.2263,-35.2911)
671: (x,y)=(55.7168,-33.9789)
672: (x,y)=(55.6819,-31.9793)
673: (x,y)=(53.8026,-32.6633)
674: (x,y)=(53.2513,-30.7408)
675: (x,y)=(51.2589,-30.9151)
676: (x,y)=(52.9732,-31.9452)
677: (x,y)=(54.9623,-31.7361)
678: (x,y)=(56.425,-33.1001)
679: (x,y)=(57.6286,-34.6974)
680: (x,y)=(58.4101,-32.8564)
681: (x,y)=(58.7917,-30.8931)
682: (x,y)=(60.7404,-31.343)
683: (x,y)=(62.2947,-32.6016)
684: (x,y)=(61.71,-30.689)
685: (x,y)=(59.7537,-30.2732)
686: (x,y)=(58.3395,-31.6874)
687: (x,y)=(57.7214,-33.5895)
688: (x,y)=(58.5349,-31.7625)
689: (x,y)=(59.3164,-29.9214)
690: (x,y)=(61.1707,-30.6707)
691: (x,y)=(61.92,-32.525)
692: (x,y)=(63.8896,-32.8723)
693: (x,y)=(65.7306,-33.6538)
694: (x,y)=(67.723,-33.8281)
695: (x,y)=(66.9415,-35.6691)
696: (x,y)=(66.5599,-33.7058)
697: (x,y)=(68.4009,-32.9244)
698: (x,y)=(68.4707,-34.9232)
699: (x,y)=(68.366,-32.9259)
700: (x,y)=(66.7079,-31.8075)
701: (x,y)=(68.44,-30.8075)
702: (x,y)=(69.4998,-32.5036)
703: (x,y)=(67.8418,-31.3852)
704: (x,y)=(69.8308,-31.1762)
705: (x,y)=(67.8821,-30.7263)
706: (x,y)=(69.8227,-31.2101)
707: (x,y)=(67.8421,-30.9318)
708: (x,y)=(69.6692,-30.1183)
709: (x,y)=(70.4827,-31.9454)
710: (x,y)=(70.2043,-29.9649)
711: (x,y)=(71.5937,-28.5262)
712: (x,y)=(70.5937,-30.2582)
713: (x,y)=(71.2777,-28.3788)
714: (x,y)=(69.7683,-27.0667)
715: (x,y)=(69.3867,-25.1035)
716: (x,y)=(67.3915,-25.243)
717: (x,y)=(65.4509,-24.7591)
718: (x,y)=(67.342,-24.108)
719: (x,y)=(66.1107,-25.684)
720: (x,y)=(67.1107,-27.4161)
721: (x,y)=(65.4333,-26.3268)
722: (x,y)=(64.4333,-28.0588)
723: (x,y)=(62.5923,-27.2774)
724: (x,y)=(60.6698,-26.7261)
725: (x,y)=(61.2211,-28.6486)
726: (x,y)=(60.7372,-26.708)
727: (x,y)=(62.7223,-26.9518)
728: (x,y)=(60.7736,-26.5019)
729: (x,y)=(59.1353,-27.649)
730: (x,y)=(58.584,-25.7265)
731: (x,y)=(57.1453,-27.1158)
732: (x,y)=(56.2064,-28.8817)
733: (x,y)=(58.004,-28.005)
734: (x,y)=(57.1587,-29.8176)
735: (x,y)=(57.7435,-31.7302)
736: (x,y)=(58.2947,-29.8077)
737: (x,y)=(56.346,-30.2576)
738: (x,y)=(57.4644,-31.9157)
739: (x,y)=(55.5325,-31.398)
740: (x,y)=(57.5021,-31.7453)
741: (x,y)=(58.1862,-33.6247)
742: (x,y)=(60.1268,-34.1085)
743: (x,y)=(62.0586,-34.6262)
744: (x,y)=(63.1479,-32.9488)
745: (x,y)=(65.1403,-33.1231)
746: (x,y)=(65.3146,-35.1155)
747: (x,y)=(63.6966,-33.94)
748: (x,y)=(62.411,-35.4721)
749: (x,y)=(60.4356,-35.1592)
750: (x,y)=(62.0116,-36.3905)
751: (x,y)=(61.7333,-38.371)
752: (x,y)=(63.6896,-37.9552)
753: (x,y)=(62.8761,-36.1281)
754: (x,y)=(60.881,-35.9886)
755: (x,y)=(59.2837,-34.785)
756: (x,y)=(60.0329,-32.9306)
757: (x,y)=(61.6712,-31.7835)
758: (x,y)=(59.7487,-31.2322)
759: (x,y)=(61.7183,-31.5795)
760: (x,y)=(59.9691,-32.5491)
761: (x,y)=(61.6464,-31.4598)
762: (x,y)=(62.5544,-33.2418)
763: (x,y)=(60.7568,-34.1186)
764: (x,y)=(59.5255,-35.6946)
765: (x,y)=(58.5559,-37.4438)
766: (x,y)=(56.7583,-38.3206)
767: (x,y)=(56.863,-36.3233)
768: (x,y)=(54.8678,-36.1838)
769: (x,y)=(53.0007,-35.4671)
770: (x,y)=(53.7499,-37.3214)
771: (x,y)=(52.4116,-38.8077)
772: (x,y)=(54.3749,-38.4261)
773: (x,y)=(52.3898,-38.6699)
774: (x,y)=(53.9871,-37.4662)
775: (x,y)=(52.255,-38.4662)
776: (x,y)=(51.6703,-40.3788)
777: (x,y)=(52.1541,-38.4382)
778: (x,y)=(54.1237,-38.091)
779: (x,y)=(53.8109,-36.1156)
780: (x,y)=(52.9029,-34.3336)
781: (x,y)=(51.0619,-33.5521)
782: (x,y)=(51.4777,-31.5958)
783: (x,y)=(49.5552,-31.0445)
784: (x,y)=(50.9192,-32.5072)
785: (x,y)=(50.7101,-30.5182)
786: (x,y)=(52.5077,-29.6415)
787: (x,y)=(50.8116,-28.5816)
788: (x,y)=(51.1245,-30.557)
789: (x,y)=(52.4885,-32.0197)
790: (x,y)=(53.1065,-30.1176)
791: (x,y)=(52.6907,-28.1613)
792: (x,y)=(50.9586,-29.1613)
793: (x,y)=(49.4265,-27.8757)
794: (x,y)=(47.446,-28.1541)
795: (x,y)=(47.5158,-26.1553)
796: (x,y)=(45.7837,-27.1553)
797: (x,y)=(46.1996,-29.1116)
798: (x,y)=(45.1695,-30.8259)
799: (x,y)=(46.5837,-29.4117)
800: (x,y)=(44.635,-28.9618)
801: (x,y)=(45.0166,-26.9985)
802: (x,y)=(43.6273,-25.5599)
803: (x,y)=(43.1434,-23.6193)
804: (x,y)=(45.0455,-24.2373)
805: (x,y)=(43.2963,-23.2677)
806: (x,y)=(45.245,-23.7176)
807: (x,y)=(47.2374,-23.8919)
808: (x,y)=(48.207,-22.1427)
809: (x,y)=(50.1558,-22.5926)
810: (x,y)=(49.4717,-24.4719)
811: (x,y)=(50.4107,-22.706)
812: (x,y)=(48.4302,-22.9844)
813: (x,y)=(49.1142,-21.105)
814: (x,y)=(50.0222,-19.323)
815: (x,y)=(51.6605,-18.1758)
816: (x,y)=(50.3222,-16.6896)
817: (x,y)=(52.0543,-15.6896)
818: (x,y)=(51.2408,-17.5166)
819: (x,y)=(49.4432,-16.6399)
820: (x,y)=(50.6468,-15.0426)
821: (x,y)=(52.2011,-13.784)
822: (x,y)=(51.1118,-12.1066)
823: (x,y)=(51.1468,-10.107)
824: (x,y)=(50.8339,-8.13158)
825: (x,y)=(51.485,-10.0226)
826: (x,y)=(52.2665,-8.1816)
827: (x,y)=(54.2071,-7.69776)
828: (x,y)=(55.3255,-6.03969)
829: (x,y)=(55.7754,-4.09095)
830: (x,y)=(57.0609,-2.55886)
831: (x,y)=(55.4429,-3.73443)
832: (x,y)=(53.4478,-3.87394)
833: (x,y)=(51.5352,-3.2892)
834: (x,y)=(49.7376,-4.16594)
835: (x,y)=(51.73,-4.34025)
836: (x,y)=(53.0682,-5.82654)
837: (x,y)=(55.0436,-5.51367)
838: (x,y)=(56.6616,-6.68924)
839: (x,y)=(57.3457,-8.56863)
840: (x,y)=(56.3457,-6.83658)
841: (x,y)=(56.9304,-8.74919)
842: (x,y)=(57.6145,-10.6286)
843: (x,y)=(55.7473,-11.3453)
844: (x,y)=(53.7622,-11.589)
845: (x,y)=(52.1041,-12.7074)
846: (x,y)=(54.0529,-12.2575)
847: (x,y)=(52.9057,-13.8958)
848: (x,y)=(51.9977,-12.1138)
849: (x,y)=(53.7953,-11.2371)
850: (x,y)=(54.7953,-9.50503)
851: (x,y)=(53.0633,-10.505)
852: (x,y)=(51.1507,-11.0898)
853: (x,y)=(50.8378,-13.0651)
854: (x,y)=(51.0469,-15.0542)
855: (x,y)=(52.3324,-16.5863)
856: (x,y)=(51.2432,-14.9089)
857: (x,y)=(52.6072,-13.4462)
858: (x,y)=(53.023,-11.4899)
859: (x,y)=(51.0278,-11.6294)
860: (x,y)=(50.1826,-9.81683)
861: (x,y)=(50.8993,-11.684)
862: (x,y)=(50.2153,-9.80461)
863: (x,y)=(48.2229,-9.6303)
864: (x,y)=(49.3985,-11.2483)
865: (x,y)=(50.1799,-9.40732)
866: (x,y)=(52.0593,-8.72328)
867: (x,y)=(50.0742,-8.96702)
868: (x,y)=(50.4215,-6.9974)
869: (x,y)=(49.8703,-8.91993)
870: (x,y)=(48.4316,-7.53061)
871: (x,y)=(46.5644,-6.81388)
872: (x,y)=(46.3207,-8.79897)
873: (x,y)=(45.8708,-10.7477)
874: (x,y)=(47.7729,-10.1297)
875: (x,y)=(49.0042,-8.55365)
876: (x,y)=(50.9993,-8.69317)
877: (x,y)=(49.3033,-7.63333)
878: (x,y)=(50.18,-5.83574)
879: (x,y)=(50.9292,-7.69011)
880: (x,y)=(49.2519,-6.60083)
881: (x,y)=(51.2506,-6.67063)
882: (x,y)=(53.2069,-6.2548)
883: (x,y)=(52.8596,-4.28519)
884: (x,y)=(51.0776,-5.19317)
885: (x,y)=(49.9592,-6.85124)
886: (x,y)=(47.9596,-6.88615)
887: (x,y)=(49.4458,-8.22441)
888: (x,y)=(49.4109,-6.22471)
889: (x,y)=(47.7529,-7.3431)
890: (x,y)=(46.0755,-8.43238)
891: (x,y)=(44.0767,-8.50218)
892: (x,y)=(42.4187,-7.38379)
893: (x,y)=(41.1331,-5.8517)
894: (x,y)=(39.2787,-6.60092)
895: (x,y)=(38.4335,-4.7883)
896: (x,y)=(36.6359,-5.66504)
897: (x,y)=(38.294,-6.78343)
898: (x,y)=(39.9713,-5.69415)
899: (x,y)=(41.0897,-7.35223)
900: (x,y)=(41.4026,-9.3276)
901: (x,y)=(43.0987,-10.3874)
902: (x,y)=(45.0212,-10.9387)
903: (x,y)=(46.9775,-10.5229)
904: (x,y)=(47.6615,-12.4023)
905: (x,y)=(47.7313,-10.4035)
906: (x,y)=(47.5918,-12.3986)
907: (x,y)=(48.9039,-13.908)
908: (x,y)=(50.522,-15.0836)
909: (x,y)=(48.7561,-14.1447)
910: (x,y)=(50.7558,-14.1098)
911: (x,y)=(52.7254,-14.4571)
912: (x,y)=(54.4397,-13.427)
913: (x,y)=(56.2373,-12.5502)
914: (x,y)=(55.8215,-10.5939)
915: (x,y)=(57.5176,-9.53411)
916: (x,y)=(57.6919,-7.54172)
917: (x,y)=(58.1418,-9.49046)
918: (x,y)=(56.6324,-10.8026)
919: (x,y)=(57.0482,-12.7589)
920: (x,y)=(55.7626,-11.2268)
921: (x,y)=(57.738,-11.5397)
922: (x,y)=(59.2701,-12.8252)
923: (x,y)=(61.2019,-12.3076)
924: (x,y)=(63.0429,-11.5261)
925: (x,y)=(61.3656,-12.6154)
926: (x,y)=(59.5997,-11.6765)
927: (x,y)=(58.0676,-10.3909)
928: (x,y)=(56.7036,-11.8536)
929: (x,y)=(55.0075,-12.9134)
930: (x,y)=(53.0757,-13.4311)
931: (x,y)=(54.0757,-11.699)
932: (x,y)=(52.9864,-13.3764)
933: (x,y)=(54.9852,-13.4462)
934: (x,y)=(55.2635,-11.4656)
935: (x,y)=(53.8248,-10.0763)
936: (x,y)=(54.4429,-11.9784)
937: (x,y)=(53.5661,-10.1808)
938: (x,y)=(53.4266,-12.176)
939: (x,y)=(54.3346,-13.958)
940: (x,y)=(52.8483,-15.2962)
941: (x,y)=(51.362,-13.958)
942: (x,y)=(53.2164,-13.2088)
943: (x,y)=(53.0073,-11.2197)
944: (x,y)=(53.0771,-13.2185)
945: (x,y)=(55.0695,-13.0442)
946: (x,y)=(53.3552,-14.0743)
947: (x,y)=(54.6408,-15.6064)
948: (x,y)=(54.8498,-17.5954)
949: (x,y)=(56.8389,-17.8045)
950: (x,y)=(55.9621,-16.0069)
951: (x,y)=(55.997,-18.0066)
952: (x,y)=(57.1442,-19.6449)
953: (x,y)=(55.3783,-18.7059)
954: (x,y)=(55.483,-16.7087)
955: (x,y)=(54.3358,-15.0704)
956: (x,y)=(53.6191,-13.2032)
957: (x,y)=(53.654,-11.2035)
958: (x,y)=(51.9047,-10.2339)
959: (x,y)=(51.2207,-12.1133)
960: (x,y)=(51.6365,-14.0696)
961: (x,y)=(50.5472,-15.7469)
962: (x,y)=(51.264,-17.6141)
963: (x,y)=(53.1661,-18.2321)
964: (x,y)=(52.136,-16.5178)
965: (x,y)=(51.6522,-14.5772)
966: (x,y)=(53.6275,-14.89)
967: (x,y)=(55.5972,-14.5427)
968: (x,y)=(56.7727,-16.1608)
969: (x,y)=(55.4087,-14.6981)
970: (x,y)=(53.4391,-14.3508)
971: (x,y)=(51.7618,-13.2615)
972: (x,y)=(52.3798,-15.1636)
973: (x,y)=(54.3722,-15.3379)
974: (x,y)=(56.3527,-15.0596)
975: (x,y)=(54.5117,-15.841)
976: (x,y)=(52.8734,-16.9882)
977: (x,y)=(54.8731,-17.0231)
978: (x,y)=(55.9624,-15.3458)
979: (x,y)=(54.453,-16.6579)
980: (x,y)=(55.7651,-18.1673)
981: (x,y)=(57.7405,-17.8544)
982: (x,y)=(59.1298,-19.2931)
983: (x,y)=(58.6459,-21.2337)
984: (x,y)=(58.6808,-23.2334)
985: (x,y)=(57.1266,-24.492)
986: (x,y)=(55.2244,-23.874)
987: (x,y)=(56.7107,-25.2123)
988: (x,y)=(54.7302,-25.4906)
989: (x,y)=(56.7107,-25.2123)
990: (x,y)=(56.2608,-23.2635)
991: (x,y)=(58.1519,-23.9147)
992: (x,y)=(56.7879,-25.3774)
993: (x,y)=(58.7867,-25.3076)
994: (x,y)=(60.7272,-25.7914)
995: (x,y)=(61.5087,-27.6324)
996: (x,y)=(60.3616,-29.2707)
997: (x,y)=(61.7255,-27.808)
998: (x,y)=(63.7255,-27.808)
999: (x,y)=(63.6906,-25.8083)
1000: (x,y)=(65.2001,-27.1204)
1001: (x,y)=(64.582,-25.2183)
1002: (x,y)=(66.4841,-24.6003)
1003: (x,y)=(67.4538,-22.851)
1004: (x,y)=(65.455,-22.7813)
1005: (x,y)=(67.031,-24.0126)
1006: (x,y)=(65.1516,-24.6966)
1007: (x,y)=(63.4024,-23.727)
1008: (x,y)=(62.0384,-25.1897)
1009: (x,y)=(60.8071,-26.7657)
1010: (x,y)=(61.9826,-28.3838)
1011: (x,y)=(60.4963,-29.722)
1012: (x,y)=(58.4963,-29.722)
1013: (x,y)=(58.601,-31.7193)
1014: (x,y)=(57.5709,-33.4336)
1015: (x,y)=(57.5011,-31.4348)
1016: (x,y)=(59.2831,-32.3428)
1017: (x,y)=(58.5339,-34.1972)
1018: (x,y)=(59.6811,-35.8355)
1019: (x,y)=(58.369,-34.3261)
1020: (x,y)=(57.1934,-32.708)
1021: (x,y)=(55.2447,-33.1579)
1022: (x,y)=(55.592,-35.1275)
1023: (x,y)=(53.6694,-35.6788)
1024: (x,y)=(52.3573,-37.1882)
1025: (x,y)=(54.2594,-36.5702)
1026: (x,y)=(52.7731,-37.9085)
1027: (x,y)=(51.3838,-39.3471)
1028: (x,y)=(51.071,-41.3225)
1029: (x,y)=(50.9314,-43.3177)
1030: (x,y)=(51.1752,-41.3326)
1031: (x,y)=(53.1384,-40.9509)
1032: (x,y)=(52.6546,-42.8915)
1033: (x,y)=(50.6595,-42.752)
1034: (x,y)=(52.4415,-41.844)
1035: (x,y)=(54.1188,-42.9333)
1036: (x,y)=(55.986,-42.2166)
1037: (x,y)=(56.0209,-44.2163)
1038: (x,y)=(54.0403,-44.4946)
1039: (x,y)=(55.2717,-42.9186)
1040: (x,y)=(55.5154,-44.9037)
1041: (x,y)=(57.328,-44.0585)
1042: (x,y)=(58.9461,-42.8829)
1043: (x,y)=(58.1646,-41.0419)
1044: (x,y)=(60.157,-41.2162)
1045: (x,y)=(61.8713,-42.2463)
1046: (x,y)=(63.13,-40.692)
1047: (x,y)=(63.2695,-42.6871)
1048: (x,y)=(64.7322,-41.3231)
1049: (x,y)=(64.8717,-39.328)
1050: (x,y)=(63.1756,-38.2681)
1051: (x,y)=(62.5245,-40.1592)
1052: (x,y)=(63.9872,-41.5232)
1053: (x,y)=(62.0553,-41.0055)
1054: (x,y)=(62.1948,-43.0007)
1055: (x,y)=(61.4781,-44.8678)
1056: (x,y)=(62.7902,-43.3584)
1057: (x,y)=(61.1129,-44.4477)
1058: (x,y)=(63.1126,-44.4128)
1059: (x,y)=(61.1807,-43.8951)
1060: (x,y)=(62.9466,-42.9562)
1061: (x,y)=(61.1646,-42.0482)
1062: (x,y)=(60.4806,-43.9276)
1063: (x,y)=(62.2781,-43.0509)
1064: (x,y)=(64.2344,-43.4667)
1065: (x,y)=(64.0601,-45.4591)
1066: (x,y)=(65.0297,-47.2083)
1067: (x,y)=(63.8261,-48.8056)
1068: (x,y)=(64.4109,-46.893)
1069: (x,y)=(65.1923,-45.052)
1070: (x,y)=(66.0058,-46.8791)
1071: (x,y)=(65.8663,-48.8742)
1072: (x,y)=(65.2815,-50.7868)
1073: (x,y)=(66.6455,-52.2495)
1074: (x,y)=(68.1998,-53.5081)
1075: (x,y)=(66.3455,-52.7589)
1076: (x,y)=(68.3427,-52.8636)
1077: (x,y)=(68.894,-50.9411)
1078: (x,y)=(70.5521,-52.0595)
1079: (x,y)=(70.2392,-50.0841)
1080: (x,y)=(71.5775,-51.5704)
1081: (x,y)=(70.6695,-49.7884)
1082: (x,y)=(69.3312,-51.2747)
1083: (x,y)=(71.2537,-51.8259)
1084: (x,y)=(69.2613,-51.6516)
1085: (x,y)=(67.7751,-50.3134)
1086: (x,y)=(68.4918,-48.4462)
1087: (x,y)=(68.7701,-46.4657)
1088: (x,y)=(69.186,-44.5094)
1089: (x,y)=(71.1423,-44.9252)
1090: (x,y)=(72.9833,-45.7066)
1091: (x,y)=(71.6977,-47.2387)
1092: (x,y)=(69.9834,-48.2688)
1093: (x,y)=(68.8362,-46.6305)
1094: (x,y)=(66.8557,-46.3522)
1095: (x,y)=(67.7009,-48.1648)
1096: (x,y)=(69.1396,-46.7755)
1097: (x,y)=(67.7009,-45.3861)
1098: (x,y)=(68.9595,-43.8319)
1099: (x,y)=(67.2275,-44.8319)
1100: (x,y)=(69.2248,-44.9365)
1101: (x,y)=(69.4685,-46.9216)
1102: (x,y)=(67.5366,-46.404)
1103: (x,y)=(69.2327,-47.4638)
1104: (x,y)=(71.2315,-47.394)
1105: (x,y)=(73.0586,-46.5805)
1106: (x,y)=(74.3707,-48.09)
1107: (x,y)=(75.6294,-49.6443)
1108: (x,y)=(73.775,-50.3935)
1109: (x,y)=(72.2656,-49.0813)
1110: (x,y)=(70.4997,-50.0203)
1111: (x,y)=(68.8614,-51.1674)
1112: (x,y)=(67.0488,-52.0127)
1113: (x,y)=(65.0491,-52.0476)
1114: (x,y)=(64.5314,-53.9794)
1115: (x,y)=(62.5751,-54.3953)
1116: (x,y)=(63.8873,-55.9047)
1117: (x,y)=(65.0909,-57.502)
1118: (x,y)=(66.6003,-56.1898)
1119: (x,y)=(66.3913,-58.1789)
1120: (x,y)=(68.1733,-59.0869)
1121: (x,y)=(69.9709,-59.9636)
1122: (x,y)=(70.5889,-61.8657)
1123: (x,y)=(69.7121,-63.6633)
1124: (x,y)=(68.2979,-62.2491)
1125: (x,y)=(67.9851,-64.2245)
1126: (x,y)=(68.3324,-66.1941)
1127: (x,y)=(66.8229,-64.882)
1128: (x,y)=(64.8305,-64.7077)
1129: (x,y)=(66.0619,-63.1316)
1130: (x,y)=(64.1393,-62.5804)
1131: (x,y)=(64.3831,-60.5953)
1132: (x,y)=(65.322,-62.3612)
1133: (x,y)=(67.1892,-61.6444)
1134: (x,y)=(65.2329,-62.0602)
1135: (x,y)=(66.5712,-60.574)
1136: (x,y)=(68.0098,-59.1846)
1137: (x,y)=(68.6939,-57.3053)
1138: (x,y)=(69.3119,-55.4031)
1139: (x,y)=(69.277,-57.4028)
1140: (x,y)=(71.1896,-56.8181)
1141: (x,y)=(73.069,-56.1341)
1142: (x,y)=(74.7833,-57.1641)
1143: (x,y)=(75.4674,-55.2847)
1144: (x,y)=(73.4701,-55.1801)
1145: (x,y)=(73.783,-57.1554)
1146: (x,y)=(72.844,-55.3896)
1147: (x,y)=(74.7234,-56.0736)
1148: (x,y)=(76.1861,-54.7096)
1149: (x,y)=(74.6318,-53.451)
1150: (x,y)=(74.1142,-55.3828)
1151: (x,y)=(72.1154,-55.313)
1152: (x,y)=(73.9826,-54.5963)
1153: (x,y)=(74.1569,-56.5887)
1154: (x,y)=(72.8448,-58.0981)
1155: (x,y)=(72.3271,-56.1662)
1156: (x,y)=(74.2904,-55.7846)
1157: (x,y)=(73.5737,-57.6518)
1158: (x,y)=(75.4008,-58.4652)
1159: (x,y)=(74.1421,-60.0195)
1160: (x,y)=(73.7263,-58.0632)
1161: (x,y)=(72.5507,-56.4452)
1162: (x,y)=(73.0346,-58.3858)
1163: (x,y)=(73.7513,-56.5186)
1164: (x,y)=(72.0021,-55.549)
1165: (x,y)=(70.306,-56.6089)
1166: (x,y)=(70.3409,-54.6092)
1167: (x,y)=(68.3846,-55.025)
1168: (x,y)=(68.2799,-53.0277)
1169: (x,y)=(68.7637,-51.0871)
1170: (x,y)=(68.6591,-53.0844)
1171: (x,y)=(66.9098,-52.1148)
1172: (x,y)=(68.1685,-50.5605)
1173: (x,y)=(69.8068,-51.7076)
1174: (x,y)=(70.2226,-53.6639)
1175: (x,y)=(69.5059,-51.7968)
1176: (x,y)=(68.9211,-53.7094)
1177: (x,y)=(67.5318,-55.1481)
1178: (x,y)=(68.2158,-57.0274)
1179: (x,y)=(70.211,-56.8879)
1180: (x,y)=(69.0926,-58.546)
1181: (x,y)=(67.152,-59.0299)
1182: (x,y)=(67.8687,-57.1627)
1183: (x,y)=(66.1367,-58.1627)
1184: (x,y)=(65.6868,-56.2139)
1185: (x,y)=(66.6868,-54.4819)
1186: (x,y)=(68.6719,-54.2382)
1187: (x,y)=(66.7593,-53.6534)
1188: (x,y)=(65.205,-52.3948)
1189: (x,y)=(63.9463,-50.8405)
1190: (x,y)=(63.3616,-48.9279)
1191: (x,y)=(64.4509,-47.2505)
1192: (x,y)=(62.4536,-47.1459)
1193: (x,y)=(61.1153,-48.6322)
1194: (x,y)=(61.0804,-50.6318)
1195: (x,y)=(59.3661,-49.6018)
1196: (x,y)=(61.0044,-50.7489)
1197: (x,y)=(61.6224,-52.651)
1198: (x,y)=(63.1319,-53.9632)
1199: (x,y)=(65.0445,-53.3784)
1200: (x,y)=(63.1901,-54.1276)
1201: (x,y)=(61.6141,-55.3589)
1202: (x,y)=(62.7034,-57.0363)
1203: (x,y)=(60.8763,-56.2228)
1204: (x,y)=(62.3857,-57.5349)
1205: (x,y)=(60.3933,-57.3606)
1206: (x,y)=(62.2059,-56.5154)
1207: (x,y)=(63.4372,-58.0914)
1208: (x,y)=(64.5556,-56.4333)
1209: (x,y)=(66.4577,-57.0514)
1210: (x,y)=(67.9672,-55.7392)
1211: (x,y)=(67.4833,-57.6798)
1212: (x,y)=(67.5182,-55.6801)
1213: (x,y)=(67.6229,-57.6774)
1214: (x,y)=(69.2409,-58.853)
1215: (x,y)=(68.9626,-60.8335)
1216: (x,y)=(69.744,-58.9925)
1217: (x,y)=(68.9948,-57.1381)
1218: (x,y)=(70.1132,-55.4801)
1219: (x,y)=(68.8011,-53.9706)
1220: (x,y)=(68.2163,-55.8832)
1221: (x,y)=(69.2762,-57.5793)
1222: (x,y)=(68.0175,-56.0251)
1223: (x,y)=(68.3304,-54.0497)
1224: (x,y)=(70.243,-54.6344)
1225: (x,y)=(70.8611,-52.7323)
1226: (x,y)=(68.9484,-53.317)
1227: (x,y)=(70.8506,-53.9351)
1228: (x,y)=(69.9738,-55.7327)
1229: (x,y)=(70.9738,-54.0006)
1230: (x,y)=(72.1494,-55.6187)
